type,scope,name,parent,min,max,multiplier,notes
model,,Maybach S-Class,Mercedes-Benz,,,0.72,,
model,,ML-Class,Mercedes-Benz,,,0.55,,
model,,S-Class,Mercedes-Benz,,,0.68,,
model,,Clubman,Mini,,,0.60,,
model,,Cooper,Mini,,,0.65,,
model,,Cooper Countryman,Mini,,,0.65,,
model,,Pajero Sport,Mitsubishi,,,0.55,,
model,,Kicks,Nissan,,,0.55,,
model,,Magnite,Nissan,,,0.70,,
model,,Micra,Nissan,,,0.50,,
model,,Micra Active,Nissan,,,0.50,,
model,,Sunny,Nissan,,,0.55,,
model,,Teana,Nissan,,,0.45,,
model,,Terrano,Nissan,,,0.55,,
model,,Cayenne,Porsche,,,0.80,,
model,,Rio,Premier,,,0.20,,
model,,Captur,Renault,,,0.50,,
model,,Duster,Renault,,,0.65,,
model,,Kiger,Renault,,,0.65,,
model,,Koleos,Renault,,,0.40,,
model,,Kwid,Renault,,,0.60,,
model,,Lodgy,Renault,,,0.45,,
model,,Pulse,Renault,,,0.45,,
model,,Scala,Renault,,,0.45,,
model,,Triber,Renault,,,0.65,,
model,,Fabia,Skoda,,,0.45,,
model,,Karoq,Skoda,,,0.60,,
model,,Kushaq,Skoda,,,0.75,,
model,,Laura,Skoda,,,0.55,,
model,,Octavia,Skoda,,,0.70,,
model,,Rapid,Skoda,,,0.65,,
model,,Rapid New,Skoda,,,0.66,,
model,,Slavia,Skoda,,,0.75,,
model,,Superb,Skoda,,,0.72,,
model,,Yeti,Skoda,,,0.50,,
model,,Rexton,SsangYong,,,0.35,,
model,,Altroz,Tata,,,0.80,,
model,,Aria,Tata,,,0.45,,
model,,Bolt,Tata,,,0.50,,
model,,Curvv,Tata,,,0.70,,
model,,Curvv EV,Tata,,,0.72,,
model,,Harrier,Tata,,,0.75,,
model,,Hexa,Tata,,,0.60,,
model,,Indica eV2,Tata,,,0.38,,
model,,Indica V2,Tata,,,0.40,,
model,,Indica Vista,Tata,,,0.42,,
model,,Indicab,Tata,,,0.40,,
model,,Indigo eCS,Tata,,,0.40,,
model,,Manza,Tata,,,0.45,,
model,,Nexon,Tata,,,0.90,,
model,,Nexon EV,Tata,,,0.80,,
model,,Nano,Tata,,,0.35,,
model,,Punch,Tata,,,0.90,,
model,,Punch EV,Tata,,,0.82,,
model,,Safari,Tata,,,0.75,,
model,,Safari Storme,Tata,,,0.65,,
model,,Sumo,Tata,,,0.40,,
model,,Sumo Gold,Tata,,,0.42,,
model,,Tiago,Tata,,,0.80,,
model,,Tiago EV,Tata,,,0.78,,
model,,Tiago JTP,Tata,,,0.70,,
model,,Tiago NRG,Tata,,,0.75,,
model,,Tigor,Tata,,,0.70,,
model,,Tigor EV,Tata,,,0.75,,
model,,Zest,Tata,,,0.55,,
model,,Camry,Toyota,,,0.70,,
model,,Corolla Altis,Toyota,,,0.65,,
model,,Etios,Toyota,,,0.55,,
model,,Etios Cross,Toyota,,,0.55,,
model,,Etios Liva,Toyota,,,0.55,,
model,,Fortuner,Toyota,,,0.98,,
model,,Glanza,Toyota,,,0.85,,
model,,Innova,Toyota,,,0.95,,
model,,Innova Crysta,Toyota,,,0.98,,
model,,Rumion,Toyota,,,0.80,,
model,,Urban Cruiser,Toyota,,,0.78,,
model,,Urban Cruiser Hyryder,Toyota,,,0.90,,
model,,Urban Cruiser Taisor,Toyota,,,0.85,,
model,,Yaris,Toyota,,,0.55,,
model,,Ameo,Volkswagen,,,0.55,,
model,,Cross Polo,Volkswagen,,,0.65,,
model,,Jetta,Volkswagen,,,0.60,,
model,,Passat,Volkswagen,,,0.55,,
model,,Phaeton,Volkswagen,,,0.40,,
model,,Polo,Volkswagen,,,0.95,,
model,,T-Roc,Volkswagen,,,0.65,,
model,,Taigun,Volkswagen,,,0.80,,
model,,Tiguan,Volkswagen,,,0.70,,
model,,Tiguan Allspace,Volkswagen,,,0.60,,
model,,Virtus,Volkswagen,,,0.80,,
model,,Vento,Volkswagen,,,0.70,,
model,,S60,Volvo,,,0.60,,
model,,S90,Volvo,,,0.65,,
model,,V40,Volvo,,,0.55,,
model,,XC40,Volvo,,,0.70,,
model,,XC60,Volvo,,,0.70,,
model,,XC90,Volvo,,,0.72,,
