type,scope,name,parent,min,max,multiplier,notes,
brand,,Toyota,,, ,0.95,Best resale/trust; MPV/SUV dominance,
brand,,Volkswagen,,, ,0.80,Driver appeal; Polo/Vento/virtus markets,
brand,,Volvo,,, ,0.7,Safe luxury; moderate resale; metro-centric,
,,,,,,,,
model,,Stile,Ashok Leyland,,,0.35,,
model,,A3,Audi,,,0.60,,
model,,A4,Audi,,,0.65,,
model,,A6,Audi,,,0.65,,
model,,Q3,Audi,,,0.70,,
model,,Q5,Audi,,,0.70,,
model,,Q7,Audi,,,0.68,,
model,,1 Series,BMW,,,0.65,,
model,,2 Series Gran Coupe,BMW,,,0.66,,
model,,3 Series,BMW,,,0.75,,
model,,3 Series Gran Limousine,BMW,,,0.72,,
model,,5 Series,BMW,,,0.75,,
model,,6 Series,BMW,,,0.70,,
model,,7 Series,BMW,,,0.68,,
model,,M340i,BMW,,,0.72,,
model,,X1,BMW,,,0.75,,
model,,X3,BMW,,,0.72,,
model,,X5,BMW,,,0.70,,
model,,X7,BMW,,,0.68,,
model,,Z4,BMW,,,0.70,,
model,,Atto 3,BYD,,,0.65,,
model,,C3,Citroen,,,0.60,,
model,,C3 Aircross,Citroen,,,0.62,,
model,,C5 Aircross,Citroen,,,0.55,,
model,,E C3,Citroen,,,0.58,,
model,,Aveo,Chevrolet,,,0.45,,
model,,Aveo U-VA,Chevrolet,,,0.45,,
model,,Beat,Chevrolet,,,0.45,,
model,,Captiva,Chevrolet,,,0.48,,
model,,Cruze,Chevrolet,,,0.50,,
model,,Enjoy,Chevrolet,,,0.45,,
model,,Sail,Chevrolet,,,0.45,,
model,,Sail U-VA,Chevrolet,,,0.45,,
model,,Spark,Chevrolet,,,0.42,,
model,,GO,Datsun,,,0.38,,
model,,GO Plus,Datsun,,,0.40,,
model,,Redi-GO,Datsun,,,0.38,,
model,,Avventura,Fiat,,,0.45,,
model,,Grand Punto,Fiat,,,0.45,,
model,,Linea,Fiat,,,0.48,,
model,,Punto Evo,Fiat,,,0.46,,
model,,Urban Cross,Fiat,,,0.45,,
model,,Force One,Force Motors,,,0.40,,
model,,Gurkha,Force Motors,,,0.45,,
model,,Classic,Ford,,,0.52,,
model,,EcoSport,Ford,,,0.75,,
model,,Endeavour,Ford,,,0.85,,
model,,Freestyle,Ford,,,0.65,,
model,,Fiesta,Ford,,,0.55,,
model,,Fiesta Classic,Ford,,,0.52,,
model,,Figo,Ford,,,0.60,,
model,,Figo Aspire,Ford,,,0.60,,
model,,Amaze,Honda,,,0.75,,
model,,BR-V,Honda,,,0.60,,
model,,Brio,Honda,,,0.50,,
model,,CR-V,Honda,,,0.60,,
model,,City,Honda,,,0.85,,
model,,Civic,Honda,,,0.70,,
model,,Elevate,Honda,,,0.80,,
model,,Jazz,Honda,,,0.70,,
model,,Mobilio,Honda,,,0.55,,
model,,WR-V,Honda,,,0.75,,
model,,Alcazar,Hyundai,,,0.80,,
model,,Aura,Hyundai,,,0.75,,
model,,Accent,Hyundai,,,0.55,,
model,,Creta,Hyundai,,,0.95,,
model,,Creta N Line,Hyundai,,,0.90,,
model,,Exter,Hyundai,,,0.85,,
model,,Elantra,Hyundai,,,0.60,,
model,,Elite i20,Hyundai,,,0.82,,
model,,Eon,Hyundai,,,0.55,,
model,,Grand i10,Hyundai,,,0.78,,
model,,Grand i10 Nios,Hyundai,,,0.85,,
model,,Kona Electric,Hyundai,,,0.60,,
model,,New i20,Hyundai,,,0.88,,
model,,New i20 N Line,Hyundai,,,0.90,,
model,,New Santro,Hyundai,,,0.68,,
model,,Santa Fe,Hyundai,,,0.62,,
model,,Santro Xing,Hyundai,,,0.62,,
model,,Tucson,Hyundai,,,0.75,,
model,,Venue,Hyundai,,,0.85,,
model,,Venue N Line,Hyundai,,,0.88,,
model,,Verna,Hyundai,,,0.85,,
model,,Xcent,Hyundai,,,0.65,,
model,,i10,Hyundai,,,0.65,,
model,,i20,Hyundai,,,0.88,,
model,,i20 Active,Hyundai,,,0.78,,
model,,i20 N Line,Hyundai,,,0.90,,
model,,D-Max V-Cross,Isuzu,,,0.65,,
model,,MU-7,Isuzu,,,0.52,,
model,,MU-X,Isuzu,,,0.55,,
model,,F-PACE,Jaguar,,,0.60,,
model,,XE,Jaguar,,,0.60,,
model,,XF,Jaguar,,,0.60,,
model,,XJ L,Jaguar,,,0.55,,
model,,Compass,Jeep,,,0.70,,
model,,Grand Cherokee,Jeep,,,0.65,,
model,,Meridian,Jeep,,,0.65,,
model,,Wrangler,Jeep,,,0.75,,
model,,Carens,Kia,,,0.80,,
model,,Carnival,Kia,,,0.65,,
model,,Seltos,Kia,,,0.90,,
model,,Sonet,Kia,,,0.85,,
model,,Syros,Kia,,,0.40,,
model,,Discovery Sport,Land Rover,,,0.65,,
model,,Discovery 4,Land Rover,,,0.55,,
model,,Freelander 2,Land Rover,,,0.50,,
model,,Range Rover,Land Rover,,,0.80,,
model,,Range Rover Evoque,Land Rover,,,0.70,,
model,,Range Rover Velar,Land Rover,,,0.70,,
model,,Astor,MG,,,0.70,,
model,,Comet,MG,,,0.55,,
model,,Gloster,MG,,,0.60,,
model,,Hector,MG,,,0.75,,
model,,Hector Plus,MG,,,0.75,,
model,,ZS EV,MG,,,0.65,,
model,,Alturas G4,Mahindra,,,0.55,,
model,,Bolero,Mahindra,,,0.80,,
model,,Bolero Neo,Mahindra,,,0.78,,
model,,Bolero Neo Plus,Mahindra,,,0.75,,
model,,e2o,Mahindra,,,0.38,,
model,,e2o Plus,Mahindra,,,0.40,,
model,,eVerito,Mahindra,,,0.40,,
model,,KUV100,Mahindra,,,0.45,,
model,,KUV100 NXT,Mahindra,,,0.45,,
model,,Marazzo,Mahindra,,,0.65,,
model,,NuvoSport,Mahindra,,,0.40,,
model,,Quanto,Mahindra,,,0.42,,
model,,Scorpio,Mahindra,,,0.82,,
model,,Scorpio Classic,Mahindra,,,0.85,,
model,,Scorpio-N,Mahindra,,,0.95,,
model,,TUV300,Mahindra,,,0.50,,
model,,Thar,Mahindra,,,0.98,,
model,,Thar Roxx,Mahindra,,,0.92,,
model,,Verito,Mahindra,,,0.45,,
model,,Verito Vibe CS,Mahindra,,,0.42,,
model,,XUV300,Mahindra,,,0.85,,
model,,XUV3XO,Mahindra,,,0.90,,
model,,XUV400,Mahindra,,,0.72,,
model,,XUV500,Mahindra,,,0.70,,
model,,XUV700,Mahindra,,,0.95,,
model,,Xylo,Mahindra,,,0.45,,
model,,A-Star,Maruti Suzuki,,,0.55,,
model,,Alto,Maruti Suzuki,,,0.78,,
model,,Alto 800,Maruti Suzuki,,,0.78,,
model,,Alto K10,Maruti Suzuki,,,0.82,,
model,,Baleno,Maruti Suzuki,,,0.90,,
model,,Brezza,Maruti Suzuki,,,0.90,,
model,,Celerio,Maruti Suzuki,,,0.75,,
model,,Celerio X,Maruti Suzuki,,,0.72,,
model,,Ciaz,Maruti Suzuki,,,0.70,,
model,,Dzire,Maruti Suzuki,,,0.85,,
model,,Eeco,Maruti Suzuki,,,0.75,,
model,,Ertiga,Maruti Suzuki,,,0.90,,
model,,Estilo,Maruti Suzuki,,,0.50,,
model,,Fronx,Maruti Suzuki,,,0.85,,
model,,Grand Vitara,Maruti Suzuki,,,0.80,,
model,,Ignis,Maruti Suzuki,,,0.75,,
model,,Jimny,Maruti Suzuki,,,0.75,,
model,,Kizashi,Maruti Suzuki,,,0.40,,
model,,Omni,Maruti Suzuki,,,0.55,,
model,,Ritz,Maruti Suzuki,,,0.60,,
model,,S-Cross,Maruti Suzuki,,,0.65,,
model,,S-Presso,Maruti Suzuki,,,0.70,,
model,,Swift,Maruti Suzuki,,,0.95,,
model,,Swift Dzire,Maruti Suzuki,,,0.85,,
model,,Vitara Brezza,Maruti Suzuki,,,0.88,,
model,,Wagon R,Maruti Suzuki,,,0.90,,
model,,Wagon R 1.0,Maruti Suzuki,,,0.88,,
model,,Wagon R 1.2,Maruti Suzuki,,,0.89,,
model,,Wagon R Stingray,Maruti Suzuki,,,0.70,,
model,,XL6,Maruti Suzuki,,,0.85,,
model,,GranCabrio,Maserati,,,0.45,,
model,,A-Class Limousine,Mercedes-Benz,,,0.60,,
model,,A-Class,Mercedes-Benz,,,0.60,,
model,,B-Class,Mercedes-Benz,,,0.55,,
model,,C-Class,Mercedes-Benz,,,0.70,,
model,,CLA,Mercedes-Benz,,,0.60,,
model,,CLS,Mercedes-Benz,,,0.60,,
model,,E-Class,Mercedes-Benz,,,0.72,,
model,,EQB,Mercedes-Benz,,,0.60,,
model,,EQS,Mercedes-Benz,,,0.60,,
model,,GL-Class,Mercedes-Benz,,,0.55,,
model,,GLA,Mercedes-Benz,,,0.65,,
model,,GLC,Mercedes-Benz,,,0.70,,
model,,GLC Coupe,Mercedes-Benz,,,0.68,,
model,,GLE,Mercedes-Benz,,,0.68,,
model,,GLE Coupe,Mercedes-Benz,,,0.66,,
model,,Maybach S-Class,Mercedes-Benz,,,0.72,,
model,,ML-Class,Mercedes-Benz,,,0.55,,
model,,S-Class,Mercedes-Benz,,,0.68,,
model,,Clubman,Mini,,,0.60,,
model,,Cooper,Mini,,,0.65,,
model,,Cooper Countryman,Mini,,,0.65,,
model,,Pajero Sport,Mitsubishi,,,0.55,,
model,,Kicks,Nissan,,,0.55,,
model,,Magnite,Nissan,,,0.70,,
model,,Micra,Nissan,,,0.50,,
model,,Micra Active,Nissan,,,0.50,,
model,,Sunny,Nissan,,,0.55,,
model,,Teana,Nissan,,,0.45,,
model,,Terrano,Nissan,,,0.55,,
model,,Cayenne,Porsche,,,0.80,,
model,,Rio,Premier,,,0.20,,
model,,Captur,Renault,,,0.50,,
model,,Duster,Renault,,,0.65,,
model,,Kiger,Renault,,,0.65,,
model,,Koleos,Renault,,,0.40,,
model,,Kwid,Renault,,,0.60,,
model,,Lodgy,Renault,,,0.45,,
model,,Pulse,Renault,,,0.45,,
model,,Scala,Renault,,,0.45,,
model,,Triber,Renault,,,0.65,,
model,,Fabia,Skoda,,,0.45,,
model,,Karoq,Skoda,,,0.60,,
model,,Kushaq,Skoda,,,0.75,,
model,,Laura,Skoda,,,0.55,,
model,,Octavia,Skoda,,,0.70,,
model,,Rapid,Skoda,,,0.65,,
model,,Rapid New,Skoda,,,0.66,,
model,,Slavia,Skoda,,,0.75,,
model,,Superb,Skoda,,,0.72,,
model,,Yeti,Skoda,,,0.50,,
model,,Rexton,SsangYong,,,0.35,,
model,,Altroz,Tata,,,0.80,,
model,,Aria,Tata,,,0.45,,
model,,Bolt,Tata,,,0.50,,
model,,Curvv,Tata,,,0.70,,
model,,Curvv EV,Tata,,,0.72,,
model,,Harrier,Tata,,,0.75,,
model,,Hexa,Tata,,,0.60,,
model,,Indica eV2,Tata,,,0.38,,
model,,Indica V2,Tata,,,0.40,,
model,,Indica Vista,Tata,,,0.42,,
model,,Indicab,Tata,,,0.40,,
model,,Indigo eCS,Tata,,,0.40,,
model,,Manza,Tata,,,0.45,,
model,,Nexon,Tata,,,0.90,,
model,,Nexon EV,Tata,,,0.80,,
model,,Nano,Tata,,,0.35,,
model,,Punch,Tata,,,0.90,,
model,,Punch EV,Tata,,,0.82,,
model,,Safari,Tata,,,0.75,,
model,,Safari Storme,Tata,,,0.65,,
model,,Sumo,Tata,,,0.40,,
model,,Sumo Gold,Tata,,,0.42,,
model,,Tiago,Tata,,,0.80,,
model,,Tiago EV,Tata,,,0.78,,
model,,Tiago JTP,Tata,,,0.70,,
model,,Tiago NRG,Tata,,,0.75,,
model,,Tigor,Tata,,,0.70,,
model,,Tigor EV,Tata,,,0.75,,
model,,Zest,Tata,,,0.55,,
model,,Camry,Toyota,,,0.70,,
model,,Corolla Altis,Toyota,,,0.65,,
model,,Etios,Toyota,,,0.55,,
model,,Etios Cross,Toyota,,,0.55,,
model,,Etios Liva,Toyota,,,0.55,,
model,,Fortuner,Toyota,,,0.98,,
model,,Glanza,Toyota,,,0.85,,
model,,Innova,Toyota,,,0.95,,
model,,Innova Crysta,Toyota,,,0.98,,
model,,Rumion,Toyota,,,0.80,,
model,,Urban Cruiser,Toyota,,,0.78,,
model,,Urban Cruiser Hyryder,Toyota,,,0.90,,
model,,Urban Cruiser Taisor,Toyota,,,0.85,,
model,,Yaris,Toyota,,,0.55,,
model,,Ameo,Volkswagen,,,0.55,,
model,,Cross Polo,Volkswagen,,,0.65,,
model,,Jetta,Volkswagen,,,0.60,,
model,,Passat,Volkswagen,,,0.55,,
model,,Phaeton,Volkswagen,,,0.40,,
model,,Polo,Volkswagen,,,0.95,,
model,,T-Roc,Volkswagen,,,0.65,,
model,,Taigun,Volkswagen,,,0.80,,
model,,Tiguan,Volkswagen,,,0.70,,
model,,Tiguan Allspace,Volkswagen,,,0.60,,
model,,Virtus,Volkswagen,,,0.80,,
model,,Vento,Volkswagen,,,0.70,,
model,,S60,Volvo,,,0.60,,
model,,S90,Volvo,,,0.65,,
model,,V40,Volvo,,,0.55,,
model,,XC40,Volvo,,,0.70,,
model,,XC60,Volvo,,,0.70,,
model,,XC90,Volvo,,,0.72,,
,,,,,,,,
city,,Bengaluru, , , ,0.90,,
city,,Hyderabad, , , ,0.85,,
city,,Pune, , , ,0.85,,
city,,Mumbai, , , ,0.90,,
city,,Delhi-NCR, , , ,0.7,Diesel caveats apply,
city,,Chennai, , , ,0.80,,
city,,Ahmedabad, , , ,0.80,,
city,,Kolkata, , , ,0.75,,
city,,Tier-2, , , ,0.70,,
,,,,,,,,
bodytype,,SUV, , , ,0.90,,
bodytype,,MUV, , , ,0.85,,
bodytype,,Hatchback, , , ,0.85,,
bodytype,,Sedan, , , ,0.70,,
,,,,,,,,
fuel,,Diesel, , , ,0.90,Consider lowering in NCR,
fuel,,Petrol, , , ,0.85,,
fuel,,CNG, , , ,0.8,High operating cost advantage,
fuel,,Hybrid, , , ,0.90,,
fuel,,EV, , , ,0.60,Infra dependent,
,,,,,,,,
transmission,,Automatic, , , ,0.80,,
transmission,,Manual, , , ,0.85,,
,,,,,,,,
age_bucket,,, ,0,4,1.00,"≤3 yrs (min inclusive, max exclusive)",
age_bucket,,, ,4,7,0.90,4–6 yrs,
age_bucket,,, ,7,10,0.80,7–9 yrs,
age_bucket,,, ,10,13,0.65,10–12 yrs,
age_bucket,,, ,13,100,0.50,>12 yrs,
,,,,,,,,
kms_year_bucket,,, ,0,20000,1.00,≤8k,
kms_year_bucket,,, ,20000,45000,0.95,8k–12k,
kms_year_bucket,,, ,45000,90000,0.85,12k–18k,
kms_year_bucket,,, ,90000,200000,0.70,>18k,
,,,,,,,,
ownership_bucket,,, ,1,2,1.00,1 owner,
ownership_bucket,,, ,2,3,0.90,2 owners,
ownership_bucket,,, ,3,4,0.75,3 owners,
ownership_bucket,,, ,4,100,0.60,≥4 owners,
